name,review_count,avg_rating,cluster,cluster_name,primary_category
"All-New Fire 7 Tablet with Alexa, 7"" Display, 8 GB - Marine Blue",82,4.585365853658536,0,Fire Tablets,Electronics
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Blue Kid-Proof Case",233,4.630901287553648,0,Fire Tablets,Electronics
"All-New Fire HD 8 Kids Edition Tablet, 8 HD Display, 32 GB, Pink Kid-Proof Case",293,4.6416382252559725,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",883,4.578708946772367,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Marine Blue - with Special Offers",160,4.6,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",2370,4.584388185654008,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",67,4.522388059701493,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",140,4.542857142857143,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",156,4.583333333333333,0,Fire Tablets,Electronics
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",115,4.565217391304348,0,Fire Tablets,Electronics
"All-New Kindle E-reader - Black, 6"" Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",17,4.588235294117647,1,E-Readers,Electronics
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi + Free Cellular Connectivity",4,4.75,1,E-Readers,"Electronics,Media"
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 32 GB, Wi-Fi - Includes Special Offers",7,4.428571428571429,1,E-Readers,"Electronics,Media"
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers",22,4.590909090909091,1,E-Readers,"Electronics,Media"
"All-new Echo (2nd Generation) with improved sound, powered by Dolby, and a new design Walnut Finish",2,5.0,2,Smart Speakers,"Electronics,Furniture"
